Número Procedimiento,Nro SAF,Descripcion SAF,Nro UOC,Descripcion UOC,Tipo de Procedimiento,Modalidad,Apartado Directa,Ejercicio,Fecha de Publicación,Fecha de Apertura,Etapa,Alcance,Nombre del Procedimiento,Objeto del Procedimiento,Monto Estimado,Tipo de Operación
40/51-0159-LPR19,381.0,381 - Estado Mayor General de La Fuerza Aérea,40.0,Departamento Contrataciones Córdoba - UOC 40/51,Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 08:00:00 a.m.,10/01/2020 10:00:00 a.m.,Única,Nacional,“Adquisición de Elementos de Librería para el HOSPITAL AERONÁUTICO CÓRDOBA,“Adquisición de Elementos de Librería para el HOSPITAL AERONÁUTICO CÓRDOBA,1957142.84,Proceso de Compra
22-0041-CDI19,250.0,250 - Caja de Retiros Jubilaciones y Pensiones de la Policía Federal,22.0,22 - Dpto de Compras y Suministros - Caja de Retiros Jubilaciones y Pensiones de la Policía Federal,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 12:00:00 p.m.,13/01/2020 09:00:00 a.m.,Única,Nacional,Servicio de seguridad de información sensible de la página web del Organismo.,Servicio de seguridad de información sensible de la página web del Organismo.,119915.25,Proceso de Compra
40/51-0918-CDI19,381.0,381 - Estado Mayor General de La Fuerza Aérea,40.0,Departamento Contrataciones Córdoba - UOC 40/51,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 12:00:00 p.m.,13/01/2020 10:00:00 a.m.,Única,Nacional,“Servicio Médico Asistencial para Organismos Varios de la GACBA .,“Servicio Médico Asistencial para Organismos Varios de la GACBA .,99000.0,Proceso de Compra
92-0075-CDI19,116.0,116 - Biblioteca Nacional,92.0,92 - Departamento de Compras y Contrataciones- BN,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 03:00:00 p.m.,27/01/2020 11:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE CAJAS Y REVISTEROS PARA LA DIRECCIÓN GENERAL DE COORDINACIÓN BIBLIOTECOLÓGICA.,ADQUISICIÓN DE CAJAS Y REVISTEROS PARA LA DIRECCIÓN GENERAL DE COORDINACIÓN BIBLIOTECOLÓGICA.,1450050.0,Proceso de Compra
46/1-0005-CDI20,604.0,604 - Dirección Nacional de Vialidad,46.0,46/01 - 19° Bahía Blanca - DNV,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2020.0,02/01/2020 02:00:00 p.m.,08/01/2020 10:00:00 a.m.,Única,Nacional,SERVICIO DE ARMADO DE REFUGIO PEATONAL (SEGUNDO LLAMADO),SERVICIO DE ARMADO DE REFUGIO PEATONAL,684000.0,Proceso de Compra
92-0077-CDI19,116.0,116 - Biblioteca Nacional,92.0,92 - Departamento de Compras y Contrataciones- BN,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 03:00:00 p.m.,24/01/2020 11:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE ELEMENTOS DE PINTURA PARA SALAS DE EXPOSICIONES DE LA BIBLIOTECA NACIONAL.,ADQUISICIÓN DE ELEMENTOS DE PINTURA PARA RESTAURAR LAS SALAS DE EXPOSICIONES DE LA BIBLIOTECA NACIONAL MARIANO MORENO Y EL MUSEO DEL LIBRO Y DE LA LENGUA.,780558.15,Proceso de Compra
84/140-1876-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/140 - Comando de Brigada de Monte III,Licitacion Privada,Orden de compra abierta,,2019.0,02/01/2020 08:00:00 a.m.,10/01/2020 08:30:00 a.m.,Única,Nacional,RECARGA DE MATAFUEGOS PARA LAS UNIDADES DEPENDIENTES A ESTE CDO BR MTE III Y COV - 1ER TRIM 2020,RECARGA DE MATAFUEGOS PARA UNIDADES DEPENDIENTES A ESTE CDO BR MTE III - 1ER TRIMESTRE 2020,47913.03,Proceso de Compra
84/140-1877-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/140 - Comando de Brigada de Monte III,Licitacion Privada,Orden de compra abierta,,2019.0,02/01/2020 08:00:00 a.m.,15/01/2020 10:00:00 a.m.,Única,Nacional,MANT. Y REP. DE LOS VEHÍCULOS PARA LA SEC AV EJ 3  COV Y OPINOR  - AÑO 2020,CONTRATAR EL SERVICIO DE MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS PARA LA UNIDAD DEPENDIENTE DEL COMANDO DE BRIGADA DE MONTE III A FIN DE CONTAR CON UN PARQUE AUTOMOTOR EN OPTIMAS CONDICIONES PARA EFECTUAR LAS ACTIVIDADES INHERENTES AL SERVICIO.,7856924.76,Proceso de Compra
41-0021-CDI19,450.0,450 - Instituto Geográfico Nacional,41.0,41 - División Compras y Contrataciones-IGN,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 02:15:00 p.m.,20/01/2020 09:00:00 a.m.,Única,Nacional,“Adquisición de ropa de trabajo y elementos de seguridad .,“Adquisición de ropa de trabajo y elementos de seguridad .,212258.0,Proceso de Compra
84/140-1879-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/140 - Comando de Brigada de Monte III,Licitacion Privada,Orden de compra abierta,,2019.0,02/01/2020 08:00:00 a.m.,15/01/2020 09:00:00 a.m.,Única,Nacional,SERVICIO DE FOTOCOPIADORA PARA LAS UNIDADES DEPENDIENTES AL CDO BR MTE III  Y COV- AÑO 2020,CONTRATAR EL SERVICIO DE FOTOCOPIADORA PARA EL COMANDO DE BRIGADA DE MONTE III  COV CENTRO Y UNIDADES DEPENDIENTES PARA EL AÑO 2020  A FIN DE EFECTUAR CON NORMALIDAD LA CONFECCIÓN DE LA DOCUMENTACIÓN INHERENTE AL SERVICIO.,1589371.56,Proceso de Compra
46/12-0002-CDI20,604.0,604 - Dirección Nacional de Vialidad,46.0,46/12 - 12° Neuquen - DNV,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2020.0,02/01/2020 12:00:00 p.m.,23/01/2020 01:00:00 p.m.,Única,Nacional,Servicio de Instalación y Puesta en Funcionamiento de Sistema de Control de Acceso Vehicular  12ºDto,Servicio de Instalación y Puesta en Funcionamiento de Sistema de Control de Acceso Vehicular  12ºDto,42979.2,Proceso de Compra
40/39-0198-LPR19,381.0,381 - Estado Mayor General de La Fuerza Aérea,40.0,40/039 - UOC DPTO CDR,Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 08:00:00 a.m.,15/01/2020 10:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE SOLUCIONES PARA MEDICINA PARA EL DEPARTAMENTO DE FARMACIA,ADQUISICIÓN DE SOLUCIONES PARA MEDICINA PARA EL DEPARTAMENTO DE FARMACIA,2595705.0,Proceso de Compra
40/39-0958-CDI19,381.0,381 - Estado Mayor General de La Fuerza Aérea,40.0,40/039 - UOC DPTO CDR,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 08:00:00 a.m.,17/01/2020 10:00:00 a.m.,Única,Nacional,SERVICIO DE DOSIMETRIA,SERVICIO DE DOSIMETRIA,637200.0,Proceso de Compra
40/39-0959-CDI19,381.0,381 - Estado Mayor General de La Fuerza Aérea,40.0,40/039 - UOC DPTO CDR,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 08:00:00 a.m.,22/01/2020 11:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE MEDICACIÓN ORAL  TÓPICA Y OFTÁLMICA PARA EL DEPARTAMENTO FARMACIA.,ADQUISICIÓN DE MEDICACIÓN ORAL  TÓPICA Y OFTÁLMICA PARA EL DEPARTAMENTO FARMACIA.,990040.84,Proceso de Compra
84/140-1927-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/140 - Comando de Brigada de Monte III,Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 08:00:00 a.m.,10/01/2020 08:10:00 a.m.,Única,Nacional,SERVICIO DE SEGUIMIENTO SATELITAL POR MEDIO DE EQUIPO TIPO (SPOT)- 1er TRIM 2020,CONTRATAR EL SERVICIO DE SEGUIMIENTO SATELITAL POR MEDIO DE EQUIPO TIPO (SPOT)  PARA BRINDAR SEGURIDAD Y ASÍ PODER CUMPLIMENTAR LAS ACTIVIDADES PROPIAS DEL SERVICIO,478619.03,Proceso de Compra
40/22-0967-CDI19,381.0,381 - Estado Mayor General de La Fuerza Aérea,40.0,40/022 - UOC DIL,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 11:00:00 a.m.,13/01/2020 08:00:00 a.m.,Única,Nacional,ADQUISICION DE COMPUESTO QUIMICO - CLORO,ADQUISICION DE COMPUESTO QUIMICO - CLORO,54000.0,Proceso de Compra
40/22-0969-CDI19,381.0,381 - Estado Mayor General de La Fuerza Aérea,40.0,40/022 - UOC DIL,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 10:00:00 a.m.,13/01/2020 08:00:00 a.m.,Única,Nacional,RECOLECCION DE RESIDUOS PATOGENICOS,RECOLECCION DE RESIDUOS PATOGENICOS,43500.0,Proceso de Compra
40/22-0973-CDI19,381.0,381 - Estado Mayor General de La Fuerza Aérea,40.0,40/022 - UOC DIL,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 11:00:00 a.m.,14/01/2020 08:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE ALIMENTOS PARA PERSONAS 1 TRIMESTRE 2020,ADQUISICIÓN DE ALIMENTOS PARA PERSONAS 1 TRIMESTRE 2020,862674.9,Proceso de Compra
40/22-0974-CDI19,381.0,381 - Estado Mayor General de La Fuerza Aérea,40.0,40/022 - UOC DIL,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 10:30:00 a.m.,13/01/2020 08:00:00 a.m.,Única,Nacional,SERVICIO DE DOSIMETRIA,SERVICIO DE DOSIMETRIA,9300.0,Proceso de Compra
40/16-0981-CDI19,381.0,381 - Estado Mayor General de La Fuerza Aérea,40.0,40/016 - AREA MATERIAL QUILMES,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 01:00:00 p.m.,10/01/2020 10:00:00 a.m.,Única,Nacional,RECARGA DE MATAFUEGOS,RECARGA DE MATAFUEGOS,305885.0,Proceso de Compra
40/51-0203-LPR19,381.0,381 - Estado Mayor General de La Fuerza Aérea,40.0,Departamento Contrataciones Córdoba - UOC 40/51,Licitacion Privada,Orden de compra abierta,,2019.0,02/01/2020 08:00:00 a.m.,10/01/2020 10:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE INSUMOS QUÍMICOS PARA EL HOSPITAL AERONÁUTICO CÓRDOBA,ADQUISICIÓN DE INSUMOS QUÍMICOS PARA EL HOSPITAL AERONÁUTICO CÓRDOBA,2625243.82,Proceso de Compra
84/77-1984-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 09:00:00 a.m.,13/01/2020 09:00:00 a.m.,Única,Nacional,CONTRATACIÓN DE MANTENIMIENTO Y REPARACIÓN DE COMPRESOR PARA EL CUARTEL GENERAL DEL ESTADO MAYOR GEN,CONTRATACIÓN DE MANTENIMIENTO Y REPARACIÓN DE COMPRESOR PARA EL CUARTEL GENERAL DEL ESTADO MAYOR GENERAL DEL EJÉRCITO,18876.0,Proceso de Compra
84/26-0143-LPU19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/26 - Hospital Militar Central 601,Licitacion Pública,Sin Modalidad,,2019.0,02/01/2020 08:00:00 a.m.,15/01/2020 09:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE MATERIAL DE ESTERILIZACIÓN PARA EL HOSPITAL MILITAR CENTRAL,ADQUISICIÓN DE MATERIAL DE ESTERILIZACIÓN PARA EL HOSPITAL MILITAR CENTRAL,10776238.5,Proceso de Compra
92-0082-CDI19,116.0,116 - Biblioteca Nacional,92.0,92 - Departamento de Compras y Contrataciones- BN,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 03:00:00 p.m.,24/01/2020 11:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE LÁMPARAS PARA EL AUDITORIO BORGES.,ADQUISICIÓN DE VEINTE (20) LÁMPARAS PARA FRESNEL DE TEATRO PARA EL AUDITORIO BORGES DE LA BIBLIOTECA NACIONAL MARIANO MORENO.,47040.0,Proceso de Compra
84/89-2026-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/89 - Dirección General de Educación,Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 09:00:00 a.m.,14/01/2020 10:00:00 a.m.,Única,Nacional,CONTRATAR SERVICIO DE CAPACITACIÓN PARA LA ESCUELA SUPERIOR DE GUERRA.,CONTRATAR SERVICIO DE CAPACITACIÓN PARA PERSONAL PERTENECIENTE A LA ESCUELA SUPERIOR DE GUERRA.,31730.0,Proceso de Compra
84/89-2031-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/89 - Dirección General de Educación,Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 09:00:00 a.m.,14/01/2020 08:00:00 a.m.,Única,Nacional,SERVICIO DE IMPRESIONES GRÁFICAS Y ENCUADERNACIÓN  PARA LA FIE  IAHM Y FE.,SERVICIO DE IMPRESIONES GRÁFICAS Y ENCUADERNACIÓN  PARA LA FACULTAD DE INGENIERÍA DEL EJERCITO  - FACULTAD DE EJERCITO - INSTITUTO ARGENTINO DE HISTORIA MILITAR.,395200.0,Proceso de Compra
84/89-2034-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/89 - Dirección General de Educación,Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 08:00:00 a.m.,14/01/2020 11:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE ARTES GRÁFICAS PARA INSTITUTOS DEPENDIENTES DE LA DIRECCIÓN GENERAL DE EDUCACIÓN.,ADQUISICIÓN DE ARTES GRÁFICAS PARA INSTITUTOS DEPENDIENTES DE LA DIRECCIÓN GENERAL DE EDUCACIÓN.,204680.0,Proceso de Compra
40/22-1007-CDI19,381.0,381 - Estado Mayor General de La Fuerza Aérea,40.0,40/022 - UOC DIL,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 11:00:00 a.m.,13/01/2020 08:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE ELEMENTOS DE LIMPIEZA,ADQUISICIÓN DE ELEMENTOS DE LIMPIEZA,99254.0,Proceso de Compra
84/26-0149-LPU19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/26 - Hospital Militar Central 601,Licitacion Pública,Sin Modalidad,,2019.0,02/01/2020 08:00:00 a.m.,15/01/2020 11:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE EFECTOS DE CONSUMO PARA SERVICIO DE APOYO PARA EL HOSPITAL MILITAR CENTRAL,ADQUISICIÓN DE EFECTOS DE CONSUMO PARA SERVICIO DE APOYO PARA EL HOSPITAL MILITAR CENTRAL,9744729.4,Proceso de Compra
40/22-1008-CDI19,381.0,381 - Estado Mayor General de La Fuerza Aérea,40.0,40/022 - UOC DIL,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 11:00:00 a.m.,13/01/2020 08:00:00 a.m.,Única,Nacional,ADQUISICION DE ELEMENTOS DE LIBRERIA Y OFICINA,ADQUISICION DE ELEMENTOS DE LIBRERIA Y OFICINA,101168.0,Proceso de Compra
84/77-2079-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 09:00:00 a.m.,14/01/2020 09:30:00 a.m.,Única,Nacional,ADQUISICIÓN DE VÍVERES ESPECIALES CORRESPONDIENTES AL 1ER SEMESTRE DEL EJERCICIO 2020 PARA EL EMGE.,ADQUISICIÓN DE VÍVERES ESPECIALES CORRESPONDIENTES AL 1ER SEMESTRE DEL EJERCICIO 2020  PARA EL ESTADO MAYOR GENERAL DEL EJÉRCITO Y SUS UNIDADES DEPENDIENTES,2426506.8,Proceso de Compra
84/77-2080-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 09:00:00 a.m.,03/02/2020 09:00:00 a.m.,Única,Nacional,ADQ ART DE LIBRERÍA  PAPELERÍA  ÚTILES DE OFICINA  REPUESTOS INFORMÁTICOS Y AFINES,ADQUISICIÓN DE ARTÍCULOS DE LIBRERÍA  PAPELERÍA  ÚTILES DE OFICINA  REPUESTOS INFORMÁTICOS Y AFINES PARA EL ESTADO MAYOR GENERAL DEL EJERCITO Y SUS UNIDADES DEPENDIENTES PARA EL 1ER SEMESTRE DE 2020,3939463.52,Proceso de Compra
84/77-2081-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 09:00:00 a.m.,31/01/2020 09:00:00 a.m.,Única,Nacional,CONTRATACIÓN DE SERVICIO DE MANTENIMIENTO DE AIRES ACONDICIONADOS PARA LA DIGID,CONTRATACIÓN DE SERVICIO DE MANTENIMIENTO DE AIRES ACONDICIONADOS PARA LA DIRECCION GENERAL DE INVESTIGACION Y DESARROLO (CIDESO),32000.0,Proceso de Compra
84/77-2087-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 09:00:00 a.m.,31/01/2020 09:30:00 a.m.,Única,Nacional,ADQ INSUMO DE INFORMÁTICA PARA EL CIDESO Y SIPAAC,ADQUISICIÓN DE INSUMO DE INFORMÁTICA PARA EL CENTRO DE INVESTIGACIÓN Y DESARROLLO DE SISTEMA OPERACIONALES (CIDESO) Y  SISTEMA DE PUNTERÍA AUTÓNOMA PARA ARTILLERÍA DE CAMPAÑA (SIPAAC),19531.0,Proceso de Compra
96-0141-CDI19,908.0,908 - Hospital Nacional Dr. Alejandro Posadas,96.0,96 - Dirección General de Administración,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 08:00:00 a.m.,13/01/2020 01:00:00 p.m.,Única,Nacional,ADQUISICIÓN VASOS PARA REACTIVOS- PROCESADORA DE BIOPSIAS,ADQUISICIÓN VASOS PARA REACTIVOS- PROCESADORA DE BIOPSIAS,34200.0,Proceso de Compra
96-0145-CDI19,908.0,908 - Hospital Nacional Dr. Alejandro Posadas,96.0,96 - Dirección General de Administración,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 08:00:00 a.m.,10/01/2020 01:00:00 p.m.,Única,Nacional,REACTIVOS PARA EL SERVICIO DE CIRUGÍA CARDIOVASCULAR INFANTIL,REACTIVOS PARA EL SERVICIO DE CIRUGÍA CARDIOVASCULAR INFANTIL,291600.0,Proceso de Compra
84/77-2092-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 09:00:00 a.m.,29/01/2020 09:00:00 a.m.,Única,Nacional,CURSOS DE CAPACITACIÓN TECNOLÓGICA PARA LA DIRECCIÓN GENERAL DE COMUNICACIONES E INFORMÁTICA,CONTRATACIÓN DE CURSOS DE CAPACITACIÓN TECNOLÓGICA PARA LA DIRECCIÓN GENERAL DE COMUNICACIONES E INFORMÁTICA,338625.0,Proceso de Compra
84/77-2097-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 09:00:00 a.m.,31/01/2020 10:00:00 a.m.,Única,Nacional,ADQUISICION DE MATERIALES DE ELECTRONICA (CIDESO),ADQUISICIÓN DE MATERIALES DE ELECTRÓNICA PARA EL CENTRO DE INVESTIGACIÓN Y DESARROLLO (CIDESO),18630.18,Proceso de Compra
84/77-2099-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 09:00:00 a.m.,29/01/2020 09:30:00 a.m.,Única,Nacional,ADQUISICIÓN DE INSUMOS PARA EL MANTENIMIENTO DE LAS REDES TELEINFORMÁTICAS DEL EJÉRCITO,ADQUISICIÓN DE INSUMOS PARA EL MANTENIMIENTO DE LAS REDES TELEINFORMÁTICAS DEL EJÉRCITO,1648000.0,Proceso de Compra
84/77-2102-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 09:00:00 a.m.,15/01/2020 09:30:00 a.m.,Única,Nacional,CONTRATACIÓN DE SERVICIOS DE CEREMONIAL CORRESPONDIENTES AL 1ER SEMESTRE DEL EJERCICIO 2020 EMGE.,CONTRATACIÓN DE SERVICIOS DE CEREMONIAL CORRESPONDIENTES AL 1ER SEMESTRE DEL EJERCICIO 2020 PARA EL ESTADO MAYOR GENERAL DEL EJÉRCITO Y SUS UNIDADES DEPENDIENTES,2581450.0,Proceso de Compra
84/77-2108-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 09:00:00 a.m.,31/01/2020 10:30:00 a.m.,Única,Nacional,ADQUISICION DE ARTÍCULOS  Y ACCESORIOS PARA PROYECTOS DE LA DGID,ADQUISICIÓN DE MATERIALES DE ELECTRÓNICA PARA EL PROYECTO SOFTWARE DE APLICACIONES PARA FRACCIONES MENORES   Y REPUESTOS Y ACCESORIOS DE IMPRESORA PARA EL PROYECTO SISTEMA INTEGRADO TÁCTICO DE COMANDO Y CONTROL DEL EJERCITO ARGENTINO,19241.96,Proceso de Compra
84/77-2112-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 09:00:00 a.m.,15/01/2020 10:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE OBSEQUIOS PROTOCOLARES CORRESPONDIENTES AL 1ER SEMESTRE DEL EJERCICIO 2020 EMGE.,ADQUISICIÓN DE OBSEQUIOS PROTOCOLARES CORRESPONDIENTES AL 1ER SEMESTRE DEL EJERCICIO 2020  PARA EL ESTADO MAYOR GENERAL DEL EJÉRCITO Y SUS UNIDADES DEPENDIENTES,1284231.0,Proceso de Compra
23-0074-CDI19,301.0,301 - Secretaria General de la Presidencia de la Nación,23.0,23/000 - Dirección General de Administración - SG,Contratación Directa,Sin Modalidad,Apartado 8: Adjudicación Simple Interadministrativa,2019.0,02/01/2020 11:30:00 a.m.,06/01/2020 11:30:00 a.m.,Única,Nacional,Seguro Cuadro Moreno - Despacho presidencial,Seguro Cuadro Moreno - Despacho presidencial,9029.28,Proceso de Compra
38/3-1417-LPR19,379.0,379 - Estado Mayor General de la Armada,38.0,38/03 - UOC de la Intendencia Naval Puerto Belgrano - Armada Argentina,Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 01:00:00 p.m.,07/02/2020 10:00:00 a.m.,Única,Nacional,ADQUISICION DE ALIMENTO PARA PERRO,ADQUISICION DE ALIMENTO PARA PERRO,3541692.0,Proceso de Compra
84/77-2130-LPR19,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Privada,Sin Modalidad,,2019.0,02/01/2020 09:00:00 a.m.,31/01/2020 11:00:00 a.m.,Única,Nacional,CURSOS DE CAPACITACIÓN PARA LA DGID,CONTRATACIÓN DE CURSOS DE CAPACITACIÓN PARA LA DIRECCIÓN GENERAL DE INVESTIGACIÓN Y DESARROLLO,166124.0,Proceso de Compra
40/16-1013-CDI19,381.0,381 - Estado Mayor General de La Fuerza Aérea,40.0,40/016 - AREA MATERIAL QUILMES,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,02/01/2020 12:30:00 p.m.,10/01/2020 10:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE QUÍMICOS  GAS ARGÓN Y GAS FREON,ADQUISICIÓN DE QUÍMICOS  GAS ARGÓN Y GAS FREON,187415.62,Proceso de Compra
38/15-0236-LPU19,379.0,379 - Estado Mayor General de la Armada,38.0,38/015 - Dirección de Obtención de la Armada,Licitacion Pública,Sin Modalidad,,2019.0,02/01/2020 12:00:00 a.m.,14/01/2020 10:00:00 a.m.,Única,Nacional,RACIONES ALIMENTARIAS DEL MENU DE VERANO PARA LAS UNIDADES DE SUPERFICIE CON ASIENTO EN BNPB.,RACIONES ALIMENTARIAS DEL MENU DE VERANO PARA LAS UNIDADES DE SUPERFICIE CON ASIENTO EN BNPB.,22400000.0,Proceso de Compra
64-0087-CDI19,852.0,852 - Superintendencia de Riesgos de Trabajo,64.0,64/000 - Departamento de Compras y Contrataciones- SRT,Contratación Directa,Sin Modalidad,Apartado 3: Adjudicación Simple por Exclusividad,2019.0,02/01/2020 12:00:00 a.m.,15/01/2020 11:00:00 a.m.,Única,Nacional,Adquisición de licencias META4 – Peoplenet y Soporte Técnico,Adquisición de licencias META4 – Peoplenet y Soporte Técnico,14300000.0,Proceso de Compra
74-0059-CDI19,107.0,107 - Administración de Parques Nacionales,74.0,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,Contratación Directa,Sin Modalidad,Apartado 8: Adjudicación Simple Interadministrativa,2019.0,02/01/2020 05:50:00 p.m.,03/01/2020 03:00:00 p.m.,Única,Nacional,Servicio de Policía Adicional,Servicio de Policía Adicional,4012092.0,Proceso de Compra
84/19-0001-LPR20,374.0,374 - Estado Mayor General del Ejercito,84.0,84/19 - Comando Brigada de Montaña VIII,Licitacion Privada,Sin Modalidad,,2020.0,02/01/2020 12:00:00 p.m.,13/01/2020 08:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE SELLOS - 1er TRIMESTRE 2020,ADQUISICIÓN DE SELLOS - 1er TRIMESTRE 2020,86260.0,Proceso de Compra
76-0014-CDI19,109.0,109 - Sindicatura General de la Nación,76.0,76/000 - Gerencia de Administración y Finanzas - SIGEN,Contratación Directa,Sin Modalidad,Apartado 8: Adjudicación Simple Interadministrativa,2019.0,03/01/2020 02:00:00 p.m.,09/01/2020 04:00:00 p.m.,Única,Nacional,CONTRATACIÓN POR UN (1) AÑO DE LAS PÓLIZAS DE SEGURO DE BIENES (CONVENIO INTERADMINISTRATIVO),CONTRATACIÓN POR UN (1) AÑO DE LAS PÓLIZAS DE SEGURO DE BIENES (CONVENIO INTERADMINISTRATIVO),40000.0,Proceso de Compra
17-0084-CDI19,113.0,113 - Teatro Nacional Cervantes,17.0,17 - Oficina de Compras- TNC,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2019.0,03/01/2020 08:00:00 a.m.,27/02/2020 01:00:00 p.m.,Única,Nacional,ADQUISICIÓN DE CINTAS PARA TAPETE DE DANZA,ADQUISICIÓN DE CINTAS PARA TAPETE DE DANZA,254121.1,Proceso de Compra
